Property,Month,Balance
2208Chase,2021-06,"8,618.74"
104Meadow,2021-06,"6,552.80"
108Meadow,2021-06,"10,371.86"
116Meadow,2021-06,"11,665.95"
116MeadowSavings,2021-06,"4,554.22"
1342Newton,2021-06,"12,757.93"
1316Rosemon,2021-06,"25,438.86"
874Wintergreen,2021-06,"3,319.81"
PagodaSecurity,2021-06,"11,927.59"
711Parks,2021-06,"12,024.89"
Midway,2021-06, -   
1117Brewer,2021-06,"8,400.97"
Partnership,2021-06,"216,065.11"
8604Wagon,2021-06,"8,476.34"
114Sidney,2021-06,"4,800.79"
2224Heatherton,2021-06,"64,427.71"
4920Brianhill,2021-06,"13,312.22"
Common,2021-06,"5,051.96"
6401Basswood,2021-06,"6,984.99"
4909Jamesway,2021-06,"27,364.25"
7417Canoga,2021-06,"8,273.70"
TrustChase,2021-06, -   
MeadowSecurity,2021-07,"5,765.00"
TrustAccount,2021-07, -   
1905Morning,2021-07,"9,551.65"
2417Garden,2021-07,"3,668.91"
108Pagoda,2021-07,"11,122.60"
2208Chase,2021-07,"8,677.38"
104Meadow,2021-07,"7,342.60"
108Meadow,2021-07,"9,423.64"
116Meadow,2021-07,"11,236.93"
116MeadowSavings,2021-07,"4,704.26"
1342Newton,2021-07,"13,814.55"
1316Rosemon,2021-07,"27,117.44"
874Wintergreen,2021-07,"3,653.11"
PagodaSecurity,2021-07,"11,927.69"
711Parks,2021-07,"12,910.94"
Midway,2021-07, -   
1117Brewer,2021-07,"9,309.49"
Partnership,2021-07,"566,911.64"
8604Wagon,2021-07,"9,257.55"
114Sidney,2021-07,"5,600.16"
2224Heatherton,2021-07,"64,427.71"
4920Brianhill,2021-07,"14,029.16"
Common,2021-07,"3,104.86"
6401Basswood,2021-07,"6,382.68"
4909Jamesway,2021-07,"26,221.16"
7417Canoga,2021-07,"10,006.78"
TrustChase,2021-07, -   
MeadowSecurity,2021-08,"5,765.00"
TrustAccount,2021-08, -   
1905Morning,2021-08,"10,151.01"
2417Garden,2021-08,"2,522.22"
108Pagoda,2021-08,"11,137.13"
2208Chase,2021-08,"8,677.45"
104Meadow,2021-08,"8,232.40"
108Meadow,2021-08,"10,044.71"
116Meadow,2021-08,"12,105.91"
116MeadowSavings,2021-08,"4,854.30"
1342Newton,2021-08,"14,871.17"
1316Rosemon,2021-08,"27,321.84"
874Wintergreen,2021-08,"4,211.41"
PagodaSecurity,2021-08,"12,427.79"
711Parks,2021-08,"13,896.99"
Midway,2021-08,"49,776.78"
1117Brewer,2021-08,"10,218.01"
Partnership,2021-08,"98,909.61"
8604Wagon,2021-08,"10,038.76"
114Sidney,2021-08,"4,274.65"
2224Heatherton,2021-08,"64,427.71"
4920Brianhill,2021-08,"10,916.10"
Common,2021-08,"7,272.63"
6401Basswood,2021-08,"6,247.08"
4909Jamesway,2021-08,"27,805.41"
7417Canoga,2021-08,"11,817.34"
TrustChase,2021-08, -   
MeadowSecurity,2021-09,"7,565.00"
TrustAccount,2021-09, -   
1905Morning,2021-09,"10,869.82"
2417Garden,2021-09,431.49
108Pagoda,2021-09,"11,933.78"
2208Chase,2021-09,"8,650.76"
104Meadow,2021-09,"9,122.20"
108Meadow,2021-09,"10,915.78"
116Meadow,2021-09,"13,074.89"
116MeadowSavings,2021-09,"5,004.34"
1342Newton,2021-09,"16,027.79"
1316Rosemon,2021-09,"30,090.25"
874Wintergreen,2021-09,"4,769.71"
PagodaSecurity,2021-09,"12,427.90"
711Parks,2021-09,"14,883.04"
Midway,2021-09,"52,239.26"
1117Brewer,2021-09,"11,226.53"
Partnership,2021-09,"93,911.17"
8604Wagon,2021-09,"10,717.98"
114Sidney,2021-09,"1,486.76"
2224Heatherton,2021-09,"64,427.71"
4920Brianhill,2021-09,"17,878.04"
Common,2021-09,"3,158.18"
6401Basswood,2021-09,"1,545.77"
4909Jamesway,2021-09,"29,195.64"
7417Canoga,2021-09,"13,123.14"
TrustChase,2021-09, -   
MeadowSecurity,2021-10,"7,565.00"
TrustAccount,2021-10, -   
1905Morning,2021-10,"11,089.18"
2417Garden,2021-10,"6,830.54"
108Pagoda,2021-10,"11,142.81"
2208Chase,2021-10,"8,570.84"
104Meadow,2021-10,"10,012.00"
108Meadow,2021-10,"11,128.07"
116Meadow,2021-10,"12,393.87"
116MeadowSavings,2021-10,"5,154.38"
1342Newton,2021-10,"15,389.41"
1316Rosemon,2021-10,"27,896.66"
874Wintergreen,2021-10,"3,633.01"
PagodaSecurity,2021-10,"12,428.00"
711Parks,2021-10,"15,869.09"
Midway,2021-10,"48,811.79"
1117Brewer,2021-10,"10,440.05"
Partnership,2021-10,"89,912.70"
8604Wagon,2021-10,"11,649.19"
114Sidney,2021-10,"2,680.02"
2224Heatherton,2021-10,"64,427.71"
4920Brianhill,2021-10,"16,454.98"
Common,2021-10,"8,769.42"
6401Basswood,2021-10,"6,124.18"
4909Jamesway,2021-10,"32,732.39"
7417Canoga,2021-10,"14,641.32"
TrustChase,2021-10, -   
MeadowSecurity,2021-11,"7,565.00"
TrustAccount,2021-11, -   
1905Morning,2021-11,"15,058.85"
2417Garden,2021-11,"2,332.84"
108Pagoda,2021-11,"12,140.84"
2208Chase,2021-11,"8,570.91"
