Property,Month,Balance
4920Brianhill,2023-02,"17,749.69"
Common,2023-02,"1,377.36"
6401Basswood,2023-02,"7,092.33"
4909Jamesway,2023-02,"6,892.90"
7417Canoga,2023-02,"4,181.75"
TrustChase,2023-02,"3,700.00"
MeadowSecurity,2023-03,140
TrustAccount,2023-03,"5,450.00"
1905Morning,2023-03,"1,515.73"
2417Garden,2023-03,"1,063.13"
108Pagoda,2023-03,"3,994.94"
2208Chase,2023-03,"6,575.52"
104Meadow,2023-03,"1,320.90"
108Meadow,2023-03,"3,997.27"
116Meadow,2023-03,"3,791.45"
116MeadowSavings,2023-03,"3,556.50"
1342Newton,2023-03,"1,604.41"
1316Rosemon,2023-03,"10,734.73"
874Wintergreen,2023-03,"4,893.02"
PagodaSecurity,2023-03,"18,224.16"
711Parks,2023-03,"4,616.02"
Midway,2023-03,"75,048.54"
1117Brewer,2023-03,"2,776.92"
Partnership,2023-03,"511,809.45"
8604Wagon,2023-03,"5,019.82"
114Sidney,2023-03,"4,245.51"
2224Heatherton,2023-03,"16,276.73"
4920Brianhill,2023-03,"20,867.18"
Common,2023-03,706.89
6401Basswood,2023-03,"11,992.58"
4909Jamesway,2023-03,"7,595.75"
7417Canoga,2023-03,"1,862.54"
TrustChase,2023-03,"3,700.00"
MeadowSecurity,2023-04,130
TrustAccount,2023-04,"5,450.00"
1905Morning,2023-04,"1,440.73"
2417Garden,2023-04,"2,683.49"
108Pagoda,2023-04,"5,042.97"
2208Chase,2023-04,"6,576.33"
104Meadow,2023-04,"2,290.70"
108Meadow,2023-04,"4,968.34"
116Meadow,2023-04,"4,190.43"
116MeadowSavings,2023-04,"3,706.95"
1342Newton,2023-04,963.27
1316Rosemon,2023-04,"10,986.24"
874Wintergreen,2023-04,"5,974.01"
PagodaSecurity,2023-04,"18,226.41"
711Parks,2023-04,"3,807.07"
Midway,2023-04,"81,252.26"
1117Brewer,2023-04,"3,740.44"
Partnership,2023-04,"507,644.23"
8604Wagon,2023-04,"5,901.03"
114Sidney,2023-04,"4,999.04"
2224Heatherton,2023-04,"13,171.48"
4920Brianhill,2023-04,"22,967.21"
Common,2023-04,646.89
6401Basswood,2023-04,"14,987.75"
4909Jamesway,2023-04,"6,324.68"
7417Canoga,2023-04,"1,748.96"
TrustChase,2023-04,"3,700.00"
MeadowSecurity,2023-05,120
TrustAccount,2023-05,"5,450.00"
1905Morning,2023-05,"1,365.73"
2417Garden,2023-05,756.75
108Pagoda,2023-05,"6,091.00"
2208Chase,2023-05,"6,577.17"
104Meadow,2023-05,"3,260.50"
108Meadow,2023-05,"6,044.41"
116Meadow,2023-05,"5,259.41"
116MeadowSavings,2023-05,"3,857.44"
1342Newton,2023-05,324.89
1316Rosemon,2023-05,"15,023.55"
874Wintergreen,2023-05,"7,055.00"
PagodaSecurity,2023-05,"18,228.73"
711Parks,2023-05,"4,850.52"
Midway,2023-05,"91,564.16"
1117Brewer,2023-05,"5,239.96"
Partnership,2023-05,"515,998.95"
8604Wagon,2023-05,"7,007.24"
114Sidney,2023-05,"6,018.41"
2224Heatherton,2023-05,"11,032.98"
4920Brianhill,2023-05,"28,947.34"
Common,2023-05,513.19
6401Basswood,2023-05,"21,975.08"
4909Jamesway,2023-05,"9,444.37"
7417Canoga,2023-05,"6,557.88"
TrustChase,2023-05,"3,700.00"
MeadowSecurity,2023-06,110
TrustAccount,2023-06,"5,450.00"
1905Morning,2023-06,"1,290.73"
2417Garden,2023-06,"3,926.41"
108Pagoda,2023-06,"7,083.47"
2208Chase,2023-06,"6,577.98"
104Meadow,2023-06,"4,230.30"
108Meadow,2023-06,"3,668.55"
116Meadow,2023-06,"6,328.39"
116MeadowSavings,2023-06,"4,007.93"
1342Newton,2023-06,686.51
1316Rosemon,2023-06,"15,420.86"
874Wintergreen,2023-06,"8,135.99"
PagodaSecurity,2023-06,"18,230.98"
711Parks,2023-06,"6,351.57"
Midway,2023-06,"98,856.71"
1117Brewer,2023-06,"6,813.48"
Partnership,2023-06,"511,499.15"
8604Wagon,2023-06,"7,918.45"
114Sidney,2023-06,"6,962.78"
2224Heatherton,2023-06,"10,417.48"
4920Brianhill,2023-06,"32,082.92"
Common,2023-06,513.19
6401Basswood,2023-06,"25,202.79"
4909Jamesway,2023-06,"10,453.30"
7417Canoga,2023-06,"6,557.88"
TrustChase,2023-06,"3,700.00"
MeadowSecurity,2023-07,100
TrustAccount,2023-07,"5,450.00"
1905Morning,2023-07,"1,215.73"
2417Garden,2023-07,"2,699.87"
108Pagoda,2023-07,"6,281.50"
2208Chase,2023-07,"6,678.03"
104Meadow,2023-07,"5,200.10"
108Meadow,2023-07,229.62
116Meadow,2023-07,"5,647.37"
116MeadowSavings,2023-07,"4,158.45"
1342Newton,2023-07,48.13
1316Rosemon,2023-07,"13,934.09"
874Wintergreen,2023-07,"7,366.98"
PagodaSecurity,2023-07,"18,233.30"
711Parks,2023-07,"5,542.62"
Midway,2023-07,"107,467.41"
1117Brewer,2023-07,"6,027.00"
Partnership,2023-07,"439,188.39"
8604Wagon,2023-07,"6,999.66"
114Sidney,2023-07,"6,212.15"
2224Heatherton,2023-07,"8,479.48"
4920Brianhill,2023-07,"30,253.06"
Common,2023-07,-665.85
6401Basswood,2023-07,"21,387.01"
4909Jamesway,2023-07,"10,428.32"
7417Canoga,2023-07,"5,931.42"
TrustChase,2023-07,"3,700.00"
MeadowSecurity,2023-08,"1,590.00"
TrustAccount,2023-08,"5,450.00"
1905Morning,2023-08,"1,140.73"
2417Garden,2023-08,"7,075.15"
108Pagoda,2023-08,"9,046.80"
2208Chase,2023-08,"6,720.02"
104Meadow,2023-08,"6,312.58"
108Meadow,2023-08,"1,779.03"
116Meadow,2023-08,"5,553.35"
116MeadowSavings,2023-08,"4,309.00"
1342Newton,2023-08,"3,046.77"
1316Rosemon,2023-08,"16,992.28"
874Wintergreen,2023-08,"10,197.97"
PagodaSecurity,2023-08,"18,235.63"
711Parks,2023-08,"7,925.57"
Midway,2023-08,"108,635.58"
1117Brewer,2023-08,"6,575.52"
Partnership,2023-08,"438,065.20"
8604Wagon,2023-08,"9,980.31"
114Sidney,2023-08,"8,711.52"
2224Heatherton,2023-08,"7,579.48"
4920Brianhill,2023-08,"35,523.52"
Common,2023-08,490.39
6401Basswood,2023-08,"27,213.20"
4909Jamesway,2023-08,"16,528.69"
7417Canoga,2023-08,"5,931.42"
TrustChase,2023-08,"3,700.00"
MeadowSecurity,2023-09,"1,580.00"
TrustAccount,2023-09,"5,450.00"
1905Morning,2023-09,"1,965.73"
2417Garden,2023-09,"7,360.16"
108Pagoda,2023-09,"9,969.83"
2208Chase,2023-09,"6,720.85"
104Meadow,2023-09,"7,282.38"
108Meadow,2023-09,"2,805.10"
116Meadow,2023-09,"6,722.33"
116MeadowSavings,2023-09,"4,459.54"
1342Newton,2023-09,"2,408.39"
1316Rosemon,2023-09,"19,199.36"
874Wintergreen,2023-09,"11,328.96"
PagodaSecurity,2023-09,"18,237.87"
711Parks,2023-09,"9,216.62"
Midway,2023-09,"73,352.00"
1117Brewer,2023-09,"5,789.04"
Partnership,2023-09,"438,429.00"
8604Wagon,2023-09,"10,913.53"
114Sidney,2023-09,"7,960.89"
2224Heatherton,2023-09,"7,579.48"
4920Brianhill,2023-09,"34,253.31"
Common,2023-09,436.93
6401Basswood,2023-09,"30,827.46"
4909Jamesway,2023-09,"20,570.59"
7417Canoga,2023-09,"5,931.42"
TrustChase,2023-09,"3,700.00"
MeadowSecurity,2023-10,"1,580.00"
TrustAccount,2023-10,"5,450.00"
1905Morning,2023-10,"1,965.73"
2417Garden,2023-10,"7,281.85"
108Pagoda,2023-10,"11,092.86"
2208Chase,2023-10,"6,721.70"
104Meadow,2023-10,"8,427.18"
108Meadow,2023-10,"3,831.17"
116Meadow,2023-10,"6,191.31"
116MeadowSavings,2023-10,"4,610.12"
1342Newton,2023-10,"1,770.01"
1316Rosemon,2023-10,"21,420.69"
874Wintergreen,2023-10,"11,559.95"
PagodaSecurity,2023-10,"18,240.20"
711Parks,2023-10,"10,357.67"
Midway,2023-10,"80,939.48"
1117Brewer,2023-10,"5,002.56"
Partnership,2023-10,"447,344.75"
8604Wagon,2023-10,"12,094.74"
114Sidney,2023-10,"7,695.26"
2224Heatherton,2023-10,"7,579.48"
4920Brianhill,2023-10,"33,177.78"
Common,2023-10,254.28
6401Basswood,2023-10,"33,574.32"
4909Jamesway,2023-10,"25,455.98"
7417Canoga,2023-10,"59,127.74"
TrustChase,2023-10,"3,700.00"
MeadowSecurity,2023-11,"1,580.00"
TrustAccount,2023-11,"5,450.00"
1905Morning,2023-11,"1,965.73"
2417Garden,2023-11,"11,697.66"
108Pagoda,2023-11,"10,290.89"
2208Chase,2023-11,"6,722.53"
104Meadow,2023-11,"7,621.98"
108Meadow,2023-11,"4,857.24"
116Meadow,2023-11,"7,360.29"
116MeadowSavings,2023-11,"4,760.70"
1342Newton,2023-11,"1,131.63"
1316Rosemon,2023-11,"22,430.04"
874Wintergreen,2023-11,"10,790.94"
PagodaSecurity,2023-11,"18,242.45"
711Parks,2023-11,"11,738.72"
Midway,2023-11,"86,882.32"
1117Brewer,2023-11,"5,474.22"
Partnership,2023-11,"447,716.26"
8604Wagon,2023-11,"13,275.95"
114Sidney,2023-11,"6,944.63"
2224Heatherton,2023-11,"7,579.48"
4920Brianhill,2023-11,"31,680.46"
Common,2023-11,200.99
6401Basswood,2023-11,"39,749.24"
4909Jamesway,2023-11,"28,299.72"
7417Canoga,2023-11,"59,127.74"
TrustChase,2023-11,"3,700.00"
MeadowSecurity,2023-12,"23,580.00"
TrustAccount,2023-12,"5,450.00"
1905Morning,2023-12,"1,965.73"
2417Garden,2023-12,"1,665.50"
108Pagoda,2023-12,"1,680.83"
2208Chase,2023-12,"1,723.34"
104Meadow,2023-12,"1,130.59"
108Meadow,2023-12,"1,210.81"
116Meadow,2023-12,"2,143.08"
116MeadowSavings,2023-12,"1,911.29"
1342Newton,2023-12,"2,270.31"
1316Rosemon,2023-12,"2,284.99"
874Wintergreen,2023-12,"1,455.10"
PagodaSecurity,2023-12,"28,244.94"
711Parks,2023-12,"2,451.61"
Midway,2023-12,"49,220.37"
1117Brewer,2023-12,"1,960.90"
Partnership,2023-12,"587,673.79"
8604Wagon,2023-12,"2,517.48"
114Sidney,2023-12,"3,910.05"
2224Heatherton,2023-12,"7,579.48"
4920Brianhill,2023-12,"6,141.69"
Common,2023-12,175.4
6401Basswood,2023-12,"3,380.77"
4909Jamesway,2023-12,"5,433.50"
7417Canoga,2023-12,"9,127.74"
TrustChase,2023-12,"3,700.00"
