ttype,description,transaction_group,transaction_type,vendor,customer,vendor_no_w9,customer_no_w9
credit,"…6335,xxx6335",A01-Income,Exp-Repair,108Meadow,GeneralCustomer,108Meadow,108MeadowTransfer
debit,"…6335,xxx6335",A01-Income,Exp-Repair,GeneralVendor,108Meadow,108MeadowTransfer,108Meadow
credit,"…2192,xxx2192",A01-Income,Exp-Repair,1342Newton,GeneralCustomer,1342Newton,1342NewtonTransfer
debit,"…2192,xxx2192",A01-Income,Exp-Repair,GeneralVendor,1342Newton,1342NewtonTransfer,1342Newton
credit,"…8147,xxx8147",A01-Income,Exp-Repair,1316Rosemon,GeneralCustomer,1316Rosemon,RosemonTransfer
debit,"…8147,xxx8147",A01-Income,Exp-Repair,GeneralVendor,1316Rosemon,RosemonTransfer,1316Rosemon
credit,"…8665,xxx8665",A01-Income,Exp-Repair,874Wintergreen,GeneralCustomer,874Wintergreen,WintergreenTransfer
debit,"…8665,xxx8665",A01-Income,Exp-Repair,GeneralVendor,874Wintergreen,WintergreenTransfer,874Wintergreen
credit,"…3312,xxx3312",B01-SecurityDeposit,Security-In,PagodaSecurity,GeneralCustomer,PagodaSecurity,SecurityDeposit
debit,"…3312,xxx3312",B01-SecurityDeposit,Security-In,GeneralVendor,PagodaSecurity,SecurityDeposit,PagodaSecurity
credit,"…9963,xxx9963",A01-Income,Exp-Repair,711Parks,GeneralCustomer,711Parks,ParksTransfer
debit,"…9963,xxx9963",A01-Income,Exp-Repair,GeneralVendor,711Parks,ParksTransfer,711Parks
credit,"…6969,xxx6969",A01-Income,Exp-Repair,Midway,GeneralCustomer,Midway,MidwayTransfer
debit,"…6969,xxx6969",A01-Income,Exp-Repair,GeneralVendor,Midway,MidwayTransfer,Midway
credit,"…2620,xxx2620",A01-Income,Exp-Repair,1117Brewer,GeneralCustomer,1117Brewer,BrewerTransfer
debit,"…2620,xxx2620",A01-Income,Exp-Repair,GeneralVendor,1117Brewer,BrewerTransfer,1117Brewer
credit,"…1242,xxx1242",A01-Income,Exp-Repair,Partnership,GeneralCustomer,Partnership,PartnershipTransfer
debit,"…1242,xxx1242",A01-Income,Exp-Repair,GeneralVendor,Partnership,PartnershipTransfer,Partnership
credit,"…5618,xxx5618",A01-Income,Exp-Repair,8604Wagon,GeneralCustomer,8604Wagon,WagonTransfer
debit,"…5618,xxx5618",A01-Income,Exp-Repair,GeneralVendor,8604Wagon,WagonTransfer,8604Wagon
credit,"…2603,xxx2603",A01-Income,Exp-Repair,114Sidney,GeneralCustomer,114Sidney,SidneyTransfer
debit,"…2603,xxx2603",A01-Income,Exp-Repair,GeneralVendor,114Sidney,SidneyTransfer,114Sidney
credit,"…7616,xxx7616",A01-Income,Exp-Repair,2224Heatherton,GeneralCustomer,2224Heatherton,HeathertonTransfer
debit,"…7616,xxx7616",A01-Income,Exp-Repair,GeneralVendor,2224Heatherton,HeathertonTransfer,2224Heatherton
credit,"…4576,xxx4576",A01-Income,Exp-Repair,4920Brianhill,GeneralCustomer,4920Brianhill,BrianhillTransfer
debit,"…4576,xxx4576",A01-Income,Exp-Repair,GeneralVendor,4920Brianhill,BrianhillTransfer,4920Brianhill
credit,"…8291,xxx8291",A01-Income,Exp-Repair,4909Jamesway,GeneralCustomer,4909Jamesway,JameswayTransfer
debit,"…8291,xxx8291",A01-Income,Exp-Repair,GeneralVendor,4909Jamesway,JameswayTransfer,4909Jamesway
credit,"…6571,xxx6571",A01-Income,Exp-Repair,7417Canoga,GeneralCustomer,7417Canoga,7417CanogaTransfer
debit,"…6571,xxx6571",A01-Income,Exp-Repair,GeneralVendor,7417Canoga,7417CanogaTransfer,7417Canoga
credit,"…9670,xxx9670",B01-SecurityDeposit,Security-In,TrustChase,GeneralCustomer,TrustChase,SecurityDeposit
debit,"…9670,xxx9670",B01-SecurityDeposit,Security-In,GeneralVendor,TrustChase,SecurityDeposit,TrustChase
credit,"…5798,xxx5798",B01-SecurityDeposit,Security-In,MedViewSD,GeneralCustomer,MedViewSD,SecurityDeposit
debit,"…5798,xxx5798",B01-SecurityDeposit,Security-In,GeneralVendor,MedViewSD,SecurityDeposit,MedViewSD
