bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
PagodaSecurity,2,Interest,0.17,0.16,0.17,0.17,0.18,0.16,0.18,0.17,0.17,0.17,1.11,1.47,2.26,2.09,2.32,2.25,2.32,2.25,2.32,2.33,2.24,2.33,2.25,2.49,0.78,0.22,0.24,0.23,0.24,0.24,0.24,0.24,0.0
PagodaSecurity,3,REVENUE,0.17,0.16,0.17,0.17,0.18,0.16,0.18,0.17,0.17,0.17,1.11,1.47,2.26,2.09,2.32,2.25,2.32,2.25,2.32,2.33,2.24,2.33,2.25,2.49,0.78,0.22,0.24,0.23,0.24,0.24,0.24,0.24,0.0
PagodaSecurity,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PagodaSecurity,14,EXPENSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PagodaSecurity,15,NET INCOME,0.17,0.16,0.17,0.17,0.18,0.16,0.18,0.17,0.17,0.17,1.11,1.47,8002.26,2.09,2.32,2.25,2.32,2.25,2.32,2.33,2.24,2.33,2.25,2.49,0.78,0.22,0.24,0.23,0.24,0.24,0.24,0.24,0.0
PagodaSecurity,20,Security Deposit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PagodaSecurity,21,CASHFLOW,20428.38,20428.54,20428.71,20428.88,20429.06,20429.22,20429.4,20429.57,20429.74,20429.91,20431.02,10217.49,18219.75,18221.84,18224.16,18226.41,18228.73,18230.98,18233.3,18235.63,18237.87,18240.2,18242.45,28244.94,28245.72,28245.94,28246.18,28246.41,28246.65,28246.89,28247.13,28247.37,0.0
