bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
116MeadowSavings,2,Interest,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.03,0.16,0.41,0.43,0.39,0.45,0.45,0.49,0.49,0.52,0.55,0.54,0.58,0.58,0.59,0.05,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.0
116MeadowSavings,3,REVENUE,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.03,0.16,0.41,0.43,0.39,0.45,0.45,0.49,0.49,0.52,0.55,0.54,0.58,0.58,0.59,0.05,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.0
116MeadowSavings,14,EXPENSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116MeadowSavings,15,NET INCOME,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.03,0.16,0.41,0.43,0.39,0.45,0.45,0.49,0.49,0.52,0.55,0.54,0.58,0.58,0.59,0.05,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.0
116MeadowSavings,18,Transfers,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,0.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,0.0
116MeadowSavings,19,Owner Draw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116MeadowSavings,21,CASHFLOW,1604.48,1754.49,1904.51,2054.53,2204.55,2354.56,2504.59,2654.61,2804.63,2954.66,3104.82,3255.23,3405.66,3406.05,3556.5,3706.95,3857.44,4007.93,4158.45,4309.0,4459.54,4610.12,4760.7,1911.29,2061.34,2211.36,2361.38,2511.4,2661.42,2811.44,2961.47,3111.49,0.0
